iter	Passed	Remaining
0	3	3931
1	7	3507
2	10	3587
3	14	3654
4	18	3625
5	21	3555
6	24	3507
7	27	3434
8	31	3422
9	34	3374
10	37	3354
11	41	3424
12	45	3431
13	48	3389
14	51	3373
15	54	3341
16	58	3358
17	61	3352
18	65	3359
19	67	3321
20	71	3315
21	74	3290
22	77	3284
23	80	3286
24	84	3309
25	88	3307
26	91	3279
27	94	3266
28	96	3242
29	100	3240
30	102	3219
31	106	3225
32	109	3221
33	113	3217
34	116	3208
35	119	3207
36	122	3192
37	125	3178
38	128	3175
39	131	3160
40	134	3156
41	138	3165
42	142	3162
43	145	3166
44	149	3164
45	152	3164
46	155	3156
47	159	3163
48	162	3155
49	165	3146
50	169	3147
51	173	3164
52	176	3158
53	179	3149
54	183	3145
55	186	3135
56	190	3143
57	193	3138
58	196	3131
59	199	3127
60	203	3130
61	206	3126
62	209	3122
63	213	3128
64	217	3126
65	220	3120
66	224	3120
67	227	3116
68	230	3111
69	233	3100
70	237	3102
71	240	3093
72	242	3082
73	246	3082
74	250	3084
75	252	3066
76	255	3065
77	258	3061
78	263	3067
79	266	3059
80	269	3054
81	272	3048
82	276	3056
83	280	3055
84	284	3058
85	287	3058
86	291	3059
87	294	3056
88	298	3059
89	302	3060
90	306	3059
91	309	3056
92	312	3049
93	315	3044
94	319	3044
95	323	3045
96	327	3047
97	331	3048
98	334	3044
99	337	3039
100	340	3035
101	344	3035
102	348	3032
103	351	3028
104	355	3026
105	357	3014
106	360	3010
107	363	3005
108	367	3002
109	370	3000
110	374	2995
111	377	2991
112	380	2988
113	384	2987
114	387	2982
115	391	2979
116	395	2983
117	398	2978
118	401	2969
119	403	2961
120	407	2958
121	412	2966
122	415	2962
123	419	2960
124	422	2956
125	425	2953
126	428	2946
127	432	2943
128	435	2940
129	438	2935
130	441	2932
131	445	2926
132	448	2926
133	453	2931
134	457	2928
135	460	2927
136	465	2930
137	468	2925
138	471	2919
139	474	2916
140	478	2916
141	482	2918
142	485	2910
143	489	2907
144	492	2906
145	496	2902
146	499	2901
147	503	2897
148	506	2891
149	508	2879
150	512	2880
151	515	2877
152	518	2871
153	522	2869
154	525	2865
155	529	2862
156	533	2864
157	537	2863
158	539	2851
159	542	2848
160	545	2842
161	547	2832
162	551	2829
163	555	2829
164	558	2825
165	561	2822
166	565	2822
167	569	2820
168	572	2816
169	575	2810
170	578	2805
171	582	2804
172	586	2803
173	590	2803
174	594	2803
175	598	2800
176	601	2795
177	604	2791
178	607	2787
179	611	2785
180	614	2781
181	618	2778
182	621	2776
183	625	2775
184	629	2775
185	633	2774
186	637	2771
187	641	2768
188	643	2762
189	647	2759
190	650	2755
191	654	2753
192	657	2749
193	661	2749
194	665	2747
195	669	2747
196	673	2744
197	676	2741
198	680	2737
199	683	2734
200	687	2733
201	691	2732
202	695	2729
203	698	2726
204	701	2720
205	704	2716
206	708	2712
207	711	2708
208	714	2704
209	718	2701
210	721	2697
211	724	2694
212	728	2690
213	730	2684
214	734	2680
215	737	2676
216	740	2672
217	743	2668
218	747	2664
219	750	2659
220	753	2656
221	757	2653
222	761	2652
223	765	2653
224	769	2651
225	773	2648
226	776	2644
227	779	2640
228	783	2637
229	787	2635
230	790	2631
231	793	2627
232	797	2623
233	800	2619
234	803	2615
235	806	2612
236	810	2609
237	814	2608
238	818	2605
239	821	2602
240	825	2599
241	828	2595
242	831	2591
243	835	2587
244	838	2583
245	841	2579
246	844	2575
247	848	2571
248	851	2568
249	854	2564
250	858	2560
251	861	2556
252	864	2551
253	867	2546
254	870	2543
255	873	2539
256	877	2536
257	881	2534
258	884	2531
259	888	2529
260	892	2527
261	896	2524
262	899	2521
263	903	2518
264	906	2514
265	910	2511
266	913	2507
267	916	2504
268	920	2500
269	923	2498
270	927	2494
271	930	2490
272	934	2488
273	937	2484
274	941	2480
275	944	2476
276	947	2473
277	951	2470
278	955	2468
279	959	2466
280	963	2465
281	967	2462
282	970	2459
283	974	2455
284	977	2451
285	980	2448
286	984	2444
287	987	2441
288	990	2437
289	994	2433
290	997	2430
291	1000	2426
292	1004	2422
293	1007	2418
294	1010	2415
295	1013	2411
296	1017	2407
297	1020	2404
298	1023	2400
299	1027	2397
300	1030	2393
301	1034	2390
302	1037	2386
303	1040	2383
304	1044	2380
305	1048	2377
306	1051	2373
307	1054	2369
308	1057	2365
309	1061	2362
310	1064	2358
311	1067	2354
312	1070	2350
313	1074	2346
314	1077	2343
315	1081	2341
316	1085	2339
317	1089	2337
318	1093	2333
319	1097	2331
320	1100	2327
321	1105	2328
322	1109	2325
323	1113	2322
324	1117	2320
325	1122	2320
326	1125	2316
327	1129	2314
328	1132	2310
329	1137	2308
330	1141	2306
331	1144	2302
332	1147	2298
333	1150	2295
334	1154	2292
335	1158	2289
336	1161	2285
337	1165	2282
338	1168	2278
339	1172	2275
340	1176	2274
341	1180	2270
342	1184	2268
343	1187	2265
344	1191	2262
345	1195	2259
346	1199	2256
347	1202	2252
348	1205	2249
349	1209	2245
350	1212	2242
351	1216	2239
352	1219	2235
353	1223	2233
354	1227	2229
355	1230	2226
356	1234	2222
357	1237	2219
358	1241	2216
359	1245	2214
360	1249	2211
361	1252	2208
362	1256	2204
363	1260	2202
364	1264	2199
365	1267	2195
366	1271	2193
367	1274	2189
368	1278	2186
369	1282	2183
370	1286	2180
371	1290	2178
372	1294	2175
373	1297	2172
374	1301	2168
375	1304	2164
376	1308	2162
377	1311	2157
378	1314	2154
379	1318	2150
380	1321	2147
381	1325	2144
382	1329	2141
383	1333	2138
384	1337	2136
385	1341	2133
386	1344	2129
387	1348	2127
388	1352	2124
389	1355	2120
390	1359	2117
391	1362	2114
392	1366	2110
393	1369	2106
394	1372	2102
395	1376	2099
396	1380	2096
397	1384	2094
398	1388	2091
399	1391	2087
400	1395	2084
401	1399	2082
402	1403	2079
403	1407	2075
404	1411	2072
405	1414	2069
406	1418	2066
407	1421	2062
408	1424	2059
409	1428	2055
410	1431	2051
411	1435	2048
412	1439	2045
413	1442	2042
414	1445	2038
415	1449	2034
416	1452	2030
417	1455	2026
418	1459	2023
419	1462	2019
420	1466	2016
421	1469	2013
422	1473	2010
423	1477	2006
424	1480	2003
425	1484	2000
426	1488	1997
427	1492	1994
428	1495	1990
429	1498	1986
430	1502	1983
431	1506	1980
432	1509	1976
433	1513	1973
434	1517	1971
435	1521	1967
436	1524	1964
437	1528	1961
438	1532	1958
439	1536	1955
440	1539	1951
441	1543	1948
442	1546	1944
443	1549	1940
444	1553	1937
445	1556	1933
446	1560	1930
447	1563	1926
448	1567	1923
449	1570	1919
450	1574	1916
451	1578	1913
452	1581	1909
453	1585	1906
454	1588	1903
455	1592	1900
456	1596	1896
457	1600	1893
458	1604	1890
459	1607	1886
460	1610	1883
461	1614	1879
462	1617	1875
463	1621	1872
464	1624	1869
465	1628	1866
466	1632	1863
467	1635	1859
468	1638	1855
469	1642	1851
470	1645	1848
471	1649	1845
472	1652	1841
473	1656	1837
474	1660	1834
475	1664	1832
476	1668	1828
477	1671	1825
478	1675	1822
479	1679	1819
480	1683	1816
481	1687	1813
482	1691	1810
483	1694	1806
484	1699	1804
485	1702	1800
486	1705	1797
487	1710	1794
488	1713	1790
489	1717	1787
490	1720	1783
491	1724	1780
492	1727	1776
493	1731	1773
494	1734	1770
495	1738	1766
496	1742	1763
497	1746	1760
498	1750	1757
499	1754	1754
500	1758	1751
501	1761	1747
502	1765	1744
503	1768	1740
504	1772	1737
505	1776	1734
506	1780	1731
507	1784	1728
508	1788	1725
509	1791	1721
510	1795	1717
511	1798	1714
512	1802	1711
513	1805	1707
514	1809	1704
515	1813	1701
516	1817	1697
517	1821	1694
518	1825	1691
519	1829	1688
520	1832	1685
521	1836	1681
522	1839	1678
523	1843	1674
524	1847	1671
525	1851	1668
526	1854	1664
527	1857	1660
528	1861	1657
529	1864	1653
530	1868	1649
531	1871	1646
532	1875	1643
533	1878	1639
534	1882	1635
535	1885	1632
536	1889	1629
537	1893	1625
538	1896	1622
539	1900	1618
540	1903	1615
541	1907	1611
542	1910	1607
543	1914	1604
544	1917	1600
545	1920	1597
546	1924	1593
547	1927	1590
548	1931	1586
549	1934	1582
550	1937	1578
551	1940	1575
552	1946	1573
553	1950	1569
554	1953	1566
555	1957	1562
556	1960	1559
557	1964	1556
558	1968	1552
559	1972	1549
560	1975	1546
561	1979	1542
562	1983	1539
563	1986	1535
564	1989	1532
565	1993	1528
566	1997	1525
567	2000	1521
568	2004	1518
569	2007	1514
570	2010	1510
571	2013	1506
572	2016	1503
573	2020	1499
574	2023	1495
575	2026	1492
576	2030	1488
577	2033	1484
578	2037	1481
579	2039	1476
580	2043	1473
581	2046	1469
582	2050	1466
583	2052	1462
584	2056	1458
585	2059	1455
586	2063	1451
587	2066	1448
588	2070	1444
589	2073	1441
590	2077	1437
591	2080	1433
592	2084	1430
593	2088	1427
594	2092	1424
595	2095	1420
596	2099	1417
597	2103	1414
598	2106	1410
599	2110	1406
600	2113	1403
601	2117	1400
602	2121	1396
603	2124	1393
604	2128	1389
605	2132	1386
606	2136	1383
607	2139	1379
608	2143	1375
609	2146	1372
610	2149	1368
611	2154	1365
612	2157	1362
613	2161	1358
614	2164	1355
615	2168	1351
616	2171	1348
617	2174	1344
618	2178	1340
619	2181	1337
620	2184	1333
621	2188	1329
622	2191	1326
623	2195	1322
624	2198	1318
625	2201	1315
626	2205	1312
627	2209	1308
628	2212	1305
629	2216	1301
630	2219	1297
631	2223	1294
632	2226	1290
633	2230	1287
634	2234	1284
635	2237	1280
636	2241	1277
637	2244	1273
638	2248	1270
639	2251	1266
640	2255	1263
641	2258	1259
642	2262	1256
643	2266	1252
644	2269	1249
645	2273	1245
646	2276	1242
647	2280	1238
648	2283	1235
649	2287	1231
650	2290	1228
651	2294	1224
652	2298	1221
653	2301	1217
654	2305	1214
655	2308	1210
656	2311	1206
657	2316	1203
658	2319	1200
659	2322	1196
660	2325	1192
661	2329	1189
662	2332	1185
663	2336	1182
664	2339	1178
665	2343	1175
666	2346	1171
667	2349	1167
668	2353	1164
669	2356	1160
670	2360	1157
671	2363	1153
672	2367	1150
673	2372	1147
674	2375	1143
675	2379	1140
676	2382	1136
677	2386	1133
678	2390	1129
679	2393	1126
680	2397	1123
681	2400	1119
682	2403	1115
683	2406	1111
684	2410	1108
685	2413	1104
